TEAM,CONF,W-L,FPI,RK,TREND,PROJ W-L,WIN OUT%,6WINS%,WIN DIV%,WIN CONF%,PLAYOFF%,MAKE NC%,WIN NC%
Vanderbilt Commodores,SEC - East,0-0,-2.8,73,--,4.0-8.0,0,11.3,0,0,0,0,0
Boston College Eagles,ACC - Atlantic,0-0,-2.9,74,--,5.5-6.5,0,50.1,0.2,0,0,0,0
Indiana Hoosiers,Big Ten - East,0-0,-2.9,75,--,3.9-8.1,0,10.7,0,0,0,0,0
East Carolina Pirates,American,0-0,-3,76,--,6.3-5.8,0,70.3,0,3.8,0,0,0
Appalachian State Mountaineers,Sun Belt - East,0-0,-3.2,77,--,7.1-5.1,0,82.8,27.2,14.7,0,0,0
Rutgers Scarlet Knights,Big Ten - East,0-0,-3.2,78,--,4.1-7.9,0,12.8,0,0,0,0,0
UAB Blazers,American,0-0,-3.7,79,--,6.0-6.1,0,62.1,0,2,0,0,0
Louisiana Ragin' Cajuns,Sun Belt - West,0-0,-3.8,80,--,7.2-5.0,0,85.6,22.4,10.6,0,0,0
Toledo Rockets,MAC - West,0-0,-3.8,81,--,8.4-4.1,0.3,95.8,44.1,27.6,0,0,0
Florida Atlantic Owls,American,0-0,-4.1,82,--,5.9-6.1,0,60.7,0,2.2,0,0,0
Coastal Carolina Chanticleers,Sun Belt - East,0-0,-4.3,83,--,6.9-5.2,0,81.1,16.3,7.8,0,0,0
North Texas Mean Green,American,0-0,-4.4,84,--,6.2-5.9,0,66,0,1.3,0,0,0
South Alabama Jaguars,Sun Belt - West,0-0,-4.9,85,--,6.5-5.6,0,73.7,18.3,8.5,0,0,0
Air Force Falcons,MW - Mountain,0-0,-5.2,86,--,7.6-4.6,0.2,90.1,15.6,8.5,0,0,0
Georgia Southern Eagles,Sun Belt - East,0-0,-5.2,87,--,6.4-5.7,0,71.8,13.5,6.1,0,0,0
Western Kentucky Hilltoppers,C-USA,0-0,-5.3,88,--,8.1-4.5,0,94.1,0,39.8,0,0,0
San Diego State Aztecs,MW - West,0-0,-5.4,89,--,6.4-5.9,0,69.8,20.7,7.5,0,0,0
Wyoming Cowboys,MW - Mountain,0-0,-5.5,90,--,6.4-5.8,0,71.8,14.8,8,0,0,0
James Madison Dukes,Sun Belt - East,0-0,-6.1,91,--,6.1-5.9,0,65.1,0,0,0,0,0
Georgia State Panthers,Sun Belt - East,0-0,-6.4,92,--,6.1-6.0,0,62.9,9.2,4.1,0,0,0
Southern Miss Golden Eagles,Sun Belt - West,0-0,-6.6,93,--,5.6-6.5,0,51.3,11.8,4.5,0,0,0
Ohio Bobcats,MAC - East,0-0,-6.7,94,--,7.1-5.3,0.1,81.4,36.5,18.1,0,0,0
Colorado Buffaloes,Pac-12,0-0,-7.1,95,--,2.6-9.4,0,1.7,0,0,0,0,0
Miami (OH) RedHawks,MAC - East,0-0,-7.1,96,--,6.9-5.4,0,80.3,31.1,15.7,0,0,0
Liberty Flames,C-USA,0-0,-7.2,97,--,8.1-4.3,0.3,93.4,0,23.4,0,0,0
Tulsa Golden Hurricane,American,0-0,-7.4,98,--,4.9-7.2,0,31.4,0,0.4,0,0,0
Arkansas State Red Wolves,Sun Belt - West,0-0,-7.8,99,--,5.6-6.5,0,51.1,6.8,2.3,0,0,0
San José State Spartans,MW - West,0-0,-7.9,100,--,5.2-6.9,0,40.2,12.7,4,0,0,0
Louisiana Tech Bulldogs,C-USA,0-0,-8.2,101,--,6.8-5.5,0,78.8,0,16.7,0,0,0
Army Black Knights,FBS Indep.,0-0,-8.3,102,--,5.9-6.1,0,62.3,0,0,0,0,0
Buffalo Bulls,MAC - East,0-0,-8.4,103,--,6.2-6.0,0,64.5,18.3,8.4,0,0,0
South Florida Bulls,American,0-0,-8.4,104,--,5.0-7.0,0,37.4,0,0.3,0,0,0
UNLV Rebels,MW - West,0-0,-8.7,105,--,5.9-6.2,0,59.5,11.2,2.6,0,0,0
Central Michigan Chippewas,MAC - West,0-0,-9.2,106,--,5.4-6.8,0,45,13.5,6.4,0,0,0
Rice Owls,American,0-0,-9.3,107,--,4.8-7.2,0,30.9,0,0.2,0,0,0
Navy Midshipmen,American,0-0,-9.3,108,--,4.9-7.1,0,33.5,0,0.3,0,0,0
Eastern Michigan Eagles,MAC - West,0-0,-9.4,109,--,6.8-5.3,0,79.8,13.2,6.2,0,0,0
Temple Owls,American,0-0,-9.4,110,--,4.8-7.3,0,29.7,0,0.1,0,0,0
Ball State Cardinals,MAC - West,0-0,-9.5,111,--,5.5-6.6,0,49.8,12.7,5.9,0,0,0
Middle Tennessee Blue Raiders,C-USA,0-0,-9.6,112,--,6.7-5.7,0,76.7,0,13.8,0,0,0
Utah State Aggies,MW - Mountain,0-0,-9.7,113,--,5.3-6.8,0,42.8,4,1.6,0,0,0
Northern Illinois Huskies,MAC - West,0-0,-10,114,--,5.8-6.3,0,56,11.9,5.3,0,0,0
Old Dominion Monarchs,Sun Belt - East,0-0,-10.1,115,--,4.5-7.5,0,26,2.6,0.8,0,0,0
Hawai'i Rainbow Warriors,MW - West,0-0,-10.2,116,--,5.9-7.2,0,59.2,8.5,1.7,0,0,0
Nevada Wolf Pack,MW - West,0-0,-10.4,117,--,5.3-6.8,0,44,7.6,1.6,0,0,0
Charlotte 49ers,American,0-0,-10.9,118,--,4.1-7.9,0,16.2,0,0.1,0,0,0
UConn Huskies,FBS Indep.,0-0,-11,119,--,5.0-7.0,0,34.5,0,0,0,0,0
Western Michigan Broncos,MAC - West,0-0,-11.4,120,--,4.4-7.7,0,20.7,4.5,1.7,0,0,0
Texas State Bobcats,Sun Belt - West,0-0,-11.5,121,--,4.5-7.5,0,24.3,2.1,0.4,0,0,0
Colorado State Rams,MW - Mountain,0-0,-11.6,122,--,4.7-7.4,0,28.6,2,0.7,0,0,0
Kent State Golden Flashes,MAC - East,0-0,-11.8,123,--,4.6-7.5,0,25.7,7.6,2.6,0,0,0
UTEP Miners,C-USA,0-0,-13.8,124,--,5.5-6.7,0,47.7,0,4.2,0,0,0
Bowling Green Falcons,MAC - East,0-0,-14.1,125,--,4.3-7.7,0,20.8,4.1,1.3,0,0,0
New Mexico Lobos,MW - Mountain,0-0,-14.6,126,--,4.6-7.4,0,27.1,0.9,0.3,0,0,0
UL Monroe Warhawks,Sun Belt - West,0-0,-15.2,127,--,3.4-8.6,0,6.2,0.5,0.1,0,0,0
Akron Zips,MAC - East,0-0,-16,128,--,4.0-8.1,0,14.1,2.5,0.8,0,0,0
Florida International Panthers,C-USA,0-0,-16.1,129,--,4.3-7.7,0,21.9,0,1.2,0,0,0
New Mexico State Aggies,C-USA,0-0,-16.3,130,--,5.2-7.8,0,42.1,0,0.9,0,0,0
UMass Minutemen,FBS Indep.,0-0,-17.2,133,--,3.5-8.5,0,7.8,0,0,0,0,0
